ID,flag_1_2,flag_1_3,flag_1_4,flag_2_3,flag_2_4,flag_3_4,DTI,LTI,DSTI,LSTI
524,0,0,0,0,0,0,7.637961843,7.218763298,0.590263504,0.572655082
525,0,0,0,0,0,0,3.203313999,3.203313999,0.114637811,0.114637811
526,0,0,0,0,0,0,5.590917321,4.949304249,0.222250614,0.20659656
527,0,0,0,0,0,0,7.180606982,4.11302223,0.353220321,0.140736652
528,0,0,0,0,0,0,3.553322231,2.97152437,0.212475524,0.212475524
529,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
530,0,0,0,0,0,0,6.906217626,6.097499493,0.342761214,0.33250524
531,0,0,0,0,0,0,8.328582429,7.159107739,0.265035845,0.265035845
532,0,0,0,0,0,0,2.453380128,2.317606986,0.245453121,0.245453121
533,0,0,0,0,0,0,3.273276524,2.087647337,0.369940412,0.118770762
534,0,0,0,0,0,0,17.80045198,13.6892234,1.15922912,0.697795408
535,0,0,0,0,0,0,3.291649072,2.959333366,0.162499757,0.146931391
536,0,0,0,0,0,0,3.945356808,3.945356808,0.216680574,0.216680574
537,0,0,0,0,0,0,2.045309268,1.92937189,0.201977493,0.189938362
538,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
539,0,0,0,0,0,0,4.252607333,3.418998513,0.344862983,0.187771398
540,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
541,0,0,0,0,0,0,4.202277032,3.998229459,0.210026776,0.201127631
542,0,0,0,0,0,0,3.233311269,2.024078326,0.332742065,0.097176274
543,0,0,0,0,0,0,6.188371579,1.670642099,0.394689196,0.118228835
544,0,0,0,0,0,0,8.873044801,7.860414257,0.548834408,0.334541766
545,0,0,0,0,0,0,5.107903434,3.994867094,0.108435753,0.04194687
546,0,0,0,0,0,0,4.917229333,4.053514818,0.150929729,0.150929729
547,0,0,0,0,0,0,6.646420338,5.404122327,0.218899772,0.208074494
548,0,0,0,0,0,0,2.249288729,1.579945021,0.327206614,0.07585316
549,0,0,0,0,0,0,5.154064991,2.37213899,0.255479369,0.130277873
550,0,0,0,0,0,0,6.02925711,3.87183953,0.429830217,0.206160327
551,0,0,0,0,0,0,4.13323744,3.688210394,0.185842036,0.180237508
552,0,0,0,0,0,0,6.999017349,5.364021164,0.368511665,0.285613702
553,0,0,0,0,0,0,4.846479043,3.972567809,0.158866208,0.158866208
554,0,0,0,0,0,0,1.889006608,1.81957175,0.125934744,0.125934744
555,0,0,0,0,0,0,4.629674654,1.022017484,0.161758473,0.045118091
556,0,0,0,0,0,0,8.231243079,6.198677368,0.488257672,0.223441787
557,0,0,0,0,0,0,4.851480292,3.558218232,0.309977321,0.189518004
558,0,0,0,0,0,0,10.75152789,9.468441387,0.411898123,0.411898123
559,0,0,0,0,0,0,8.139933521,7.393164304,0.425438447,0.425438447
560,0,0,0,0,0,0,5.80207891,2.645220209,0.437254901,0.291364128
561,0,0,0,0,0,0,4.521545496,3.764651606,0.39763493,0.232682159
562,0,0,0,0,0,0,3.903678062,3.031624798,0.287183458,0.152006581
563,0,0,0,0,0,0,9.853722009,8.674637453,0.389850784,0.377369515
564,0,0,0,0,0,0,9.298069207,7.68711325,0.337423813,0.307407659
565,0,0,0,0,0,0,4.028107268,1.356635625,0.346098561,0.048612677
566,0,0,0,0,0,0,6.227956543,5.112593209,0.534000135,0.469910303
567,0,0,0,0,0,0,2.52056034,1.185781371,0.353533139,0.075075431
568,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
569,0,0,0,0,0,0,1.55196388,1.278927513,0.145291977,0.087856626
570,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
571,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
572,0,0,0,0,0,0,4.16790758,2.624508889,0.361432367,0.085848436
573,0,0,0,0,0,0,17.73328477,14.53700689,0.746608395,0.530354184
574,0,0,0,0,0,0,7.103668874,6.518363841,0.354437086,0.295352583
575,0,0,0,0,0,0,3.218035768,2.924707828,0.160525262,0.15587071
576,0,0,0,0,0,0,3.80770568,2.464433144,0.223441938,0.107101917
577,0,0,0,0,0,0,5.411939188,5.05422632,0.360068137,0.360068137
578,0,0,0,0,0,0,2.624022743,2.457390359,0.259542623,0.246478532
579,0,0,0,0,0,0,2.485955535,2.284397638,0.163013478,0.158646461
580,0,0,0,0,0,0,4.159761417,2.015060519,0.124898748,0.124898748
581,0,0,0,0,0,0,2.982950126,2.698369992,0.1481501,0.138020856
582,0,0,0,0,0,0,9.224382235,6.044157035,0.601682693,0.365200582
583,0,0,0,0,0,0,4.81999722,4.364144437,0.239589036,0.232375978
584,0,0,0,0,0,0,9.986412689,4.274987069,0.444702541,0.183769265
585,0,0,0,0,0,0,26.91851185,25.31959727,1.611048273,1.330055856
586,0,0,0,0,0,0,1.540767781,1.309467734,0.051265944,0.051265944
587,0,0,0,0,0,0,9.482008526,7.455279028,0.589504671,0.360597769
588,0,0,0,0,0,0,3.158443795,2.532062238,0.246724144,0.170646815
589,0,0,0,0,0,0,3.758903965,3.272298219,0.147518494,0.147518494
590,0,0,0,0,0,0,2.739967554,1.008601014,0.243177925,0.054740695
591,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
592,0,0,0,0,0,0,10.29970146,6.630563382,0.277285367,0.038067422
593,0,0,0,0,0,0,2.219226358,2.047677466,0.182545059,0.174570448
594,0,0,0,0,0,0,7.169768673,6.451419745,0.359273601,0.331459638
595,0,0,0,0,0,0,5.553802428,4.803676548,0.272582321,0.204036953
596,0,0,0,0,0,0,5.746608454,4.995276039,0.359644176,0.271110122
597,0,0,0,0,0,0,13.41221182,11.58828143,0.443971664,0.412291165
598,0,0,0,0,0,0,5.92216021,4.841154125,0.216981905,0.216981905
599,0,0,0,0,0,0,1.962101868,1.201900072,0.281047044,0.12697745
600,0,0,0,0,0,0,8.267879828,5.354045977,0.362032135,0.193747425
601,0,0,0,0,0,0,1.523556824,1.308980404,0.190559122,0.085468907
602,0,0,0,0,0,0,3.558269769,3.164369103,0.17633257,0.17633257
603,0,0,0,0,0,0,5.20612416,4.572032372,0.191967919,0.185861705
604,0,0,0,0,0,0,3.662759326,2.686314625,0.102943992,0.102943992
605,0,0,0,0,0,0,3.231925266,1.645279456,0.377838427,0.090357925
